Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,OB2,Nweight
cgb5_1,C3H3N7,1.694746758,99.8557687018,4756.7711719568,9.6738346386,728.3276165419,816.9051519145,-87.52226978263468,71.51340869575114
cgb5_10,C3H2N10O4,1.797682354,104.3825434755,7647.4473682228,25.9223616263,3872.3093651283,693.8920728531,-19.824744340009097,57.85201248113584
cgb5_11,C3H1N9O5,1.852691744,113.1056247164,8162.1443288888,30.061674515,4608.5842375462,668.045154258,-9.872218264502603,51.85589443306948
cgb5_12,C3H2N8O2,1.75428493,98.8560971844,6805.5396797502,20.22792737,2955.731473928,676.5499336135,-43.93016642798878,61.5339737347061
cgb5_13,C4H1N11O8,1.857347932,119.0393959274,8454.7951013033,32.3035217505,5185.1987716834,659.5803257095,-2.4159545474258186,46.53112693647529
cgb5_14,C3H1N9O4,1.811130476,97.9643825293,7687.46419969,26.3113220094,3999.6358263423,665.7920366869,-17.612885436125048,55.50922214441927
cgb5_15,C3H2N8O2,1.731350004,94.0079277439,6728.4502305622,19.6135433295,2929.1078638678,676.5499336135,-43.93016642798878,61.5339737347061
cgb5_16,C4H1N11O8,1.862875046,121.2280714373,8475.2853959204,32.5167719498,5191.8086953375,659.5803257095,-2.415954547425818,46.53112693647528
cgb5_17,C3H3N9O2,1.762327244,104.6661587007,6857.9087814716,20.5977010868,2875.7700918912,710.2452162194,-44.64231087006967,63.952660735848546
cgb5_18,C3H1N9O4,1.794275056,95.1368871236,7631.2977022046,25.7836391881,3987.1852711078,665.7920366869,-17.612885436125048,55.50922214441927
cgb5_19,C3H2N8O3,1.807045054,111.5193865132,7485.8857289506,24.9159604848,3774.8016887642,678.4459831303,-32.3057400669501,56.56422233280624
cgb5_2,C4H2N10O6,1.86663759,121.7121777767,8187.7812884816,30.3838671585,4713.4879821064,665.4502162154,-16.775426768881307,48.95357953500128
cgb5_20,C3H1N9O5,1.823225862,108.473161399,8062.060376105,29.0528029817,4589.5282356057,668.045154258,-9.872218264502605,51.85589443306948
cgb5_21,C3N8O6,1.877428444,112.3564634141,8530.0966857151,33.0884669613,5300.1104341555,642.4067967295,0.0,45.90815959056399
cgb5_22,C3H1N7O3,1.778150402,94.8116029988,7359.814752366,23.8517848544,3868.5390159877,642.324112159,-30.585715476417146,53.55262584391066
cgb5_23,C4N10O9,1.894850468,126.1526624099,8507.9666351474,33.0936383281,5122.5663501933,640.7623626787,4.817581459324238,42.1755929761846
cgb5_24,C3N8O5,1.836193658,98.4118551343,8101.4054513172,29.4604069643,4747.5464229592,638.3649439436,-7.014736321518466,49.12849593590395
cgb5_25,C3H1N7O3,1.801077204,98.872445061,7436.6755765295,24.5408728316,3890.7190908944,642.324112159,-30.585715476417146,53.55262584391066
cgb5_26,C4N10O9,1.898980968,124.6919063501,8519.3279735851,33.223801295,5118.1678656193,640.7623626787,4.817581459324236,42.1755929761846
cgb5_27,C3H2N8O3,1.85428123,114.3193395636,7630.2657706662,26.2846637794,3788.9357432796,678.4459831303,-32.305740066950094,56.564222332806224
